_,T,15.78598405
_,A,11.29162566
_,S,7.090602668
_,I,6.908207735
_,W,6.665903415
_,O,6.623767553
_,H,6.35044703
_,B,4.682943604
_,C,4.386648429
_,M,3.989545087
_,F,3.871956648
_,P,3.366188256
_,D,3.163016734
_,L,2.585465265
_,R,2.353531695
_,N,2.291781026
_,E,2.200153398
_,G,1.928962041
_,Y,1.331213337
_,U,1.120628282
_,V,0.626072267
_,K,0.594179348
_,J,0.551143464
_,Q,0.201526176
_,Z,0.026802181
_,X,0.011704648
A,N,19.9778119
A,T,13.26533809
A,R,10.24364948
A,S,9.376965803
A,L,8.257176723
A,D,4.560407024
A,I,4.013833503
A,C,3.850604671
A,Y,2.84100306
A,M,2.754944389
A,V,2.413851434
A,B,2.048922926
A,G,1.887219404
A,P,1.738771062
A,K,1.352238382
A,U,1.234742521
A,W,0.831085512
A,F,0.799861138
A,H,0.188354101
A,Z,0.169493779
A,X,0.125490395
A,J,0.081953216
A,E,0.079607242
A,O,0.031847879
A,A,0.021157184
A,Q,0.015714325
B,E,31.1857219
B,U,12.45965786
B,O,11.48855893
B,L,11.35299297
B,A,8.465960185
B,Y,7.597346002
B,R,6.742879708
B,I,4.762521236
B,S,1.693962319
B,B,0.896109911
B,T,0.766776915
B,J,0.765757314
B,V,0.150059915
B,M,0.128521781
B,D,0.074747148
B,C,0.062846846
B,N,0.041829676
B,W,0.029159091
B,H,0.025069524
B,P,0.008651721
B,G,0.005503611
B,F,0.005265456
B,K,0.002749945
B,Z,0.001466141
B,X,0.000881917
B,Q,0.000226991
C,O,18.86935156
C,H,15.97805541
C,E,15.82102964
C,A,13.18771008
C,T,8.239315572
C,I,5.719815567
C,K,5.397396741
C,R,3.963759477
C,L,3.802033008
C,U,3.352206421
C,C,1.759728974
C,Y,0.845677927
C,S,0.35548737
C,Q,0.14522471
C,D,0.031463886
C,N,0.024088751
C,G,0.021718471
C,Z,0.019570537
C,B,0.015648039
C,M,0.013584008
C,P,0.007907923
C,F,0.00527964
C,W,0.003031021
C,V,0.002305254
C,X,0.00061879
C,J,0.000446787
D,E,12.84842301
D,I,7.466592157
D,O,6.0509021
D,A,3.077552602
D,S,2.425194339
D,R,1.938188199
D,U,1.749438167
D,Y,1.210181523
D,D,0.962371941
D,L,0.853919563
D,G,0.584791886
D,M,0.351518936
D,V,0.31354164
D,W,0.174571988
D,N,0.168474602
D,F,0.085310998
D,H,0.060641478
D,J,0.057472106
D,T,0.044226393
D,B,0.038271063
D,C,0.036323651
D,P,0.019903049
D,Q,0.018515587
D,K,0.017417754
D,Z,0.003137651
D,X,0.000100681
E,R,13.14649332
E,N,8.446121915
E,D,7.855197252
E,S,7.147902491
E,A,4.795099192
E,L,3.389410645
E,E,2.873208399
E,T,2.662056305
E,C,2.150118937
E,M,2.058324145
E,V,1.588198013
E,Y,1.328093781
E,I,1.111812623
E,P,1.010722668
E,X,0.985478434
E,F,0.91998732
E,W,0.817436381
E,G,0.602777926
E,O,0.373730621
E,Q,0.176879166
E,H,0.167810961
E,K,0.166228228
E,B,0.163774879
E,U,0.131919465
E,Z,0.041280596
E,J,0.027259748
F,O,16.12558529
F,I,8.379055035
F,E,8.054664864
F,R,7.688103013
F,A,6.532289394
F,F,4.692570014
F,U,3.422112855
F,T,3.380979836
F,L,2.513530963
F,Y,0.213533207
F,S,0.161784159
F,B,0.015660598
F,G,0.014790845
F,W,0.014591684
F,C,0.0145816
F,M,0.014387481
F,N,0.00876812
F,D,0.008652152
F,H,0.007270632
F,K,0.004999189
F,P,0.003335314
F,J,0.001018493
F,V,0.000675634
F,X,0.000388238
F,Z,0.000153782
F,Q,0.000100841
G,E,14.23586382
G,H,12.32785188
G,O,7.522474199
G,R,7.233268064
G,A,6.304329462
G,I,5.438529622
G,U,2.936192251
G,L,2.816246875
G,S,2.258606789
G,N,1.85956159
G,G,1.233329901
G,T,0.610098702
G,Y,0.478885072
G,M,0.212663661
G,D,0.075152142
G,W,0.051339499
G,F,0.029976352
G,B,0.025345719
G,P,0.010032086
G,K,0.00483333
G,Z,0.003919765
G,C,0.003545774
